1ｺｰﾅｰ,2ｺｰﾅｰ,3ｺｰﾅｰ,4ｺｰﾅｰ,グレード,タイム,データソース,トラック,上がり3F,人気,付加賞金,単勝ｵｯｽﾞ,場名,天候,年,性別,所属,斤量,日,月,本賞金,母,母父,毛色,水分,父,父父,生年,生産者,着順_num,競走名,競走条件,競走種別,競走記号,脚質,誕生月,調教師,距離,重量種別,頭数,馬主,馬体重,馬場状態,馬齢,騎手,Ｒ
,,,,,,,,,12.0,,65.6,,,,,,53,,,,,,,,,,,,,,,,,,,,1200,,13,,,,3,,
,,,,,,,,,5.0,,7.2,,,,,,51,,,,,,,,,,,,,,,,,,,,1200,,13,,,,3,,
,,,,,,,,,9.0,,25.5,,,,,,51,,,,,,,,,,,,,,,,,,,,1200,,13,,,,3,,
,,,,,,,,,2.0,,4.7,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,13,,,,3,,
,,,,,,,,,11.0,,108.6,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,12,,,,5,,
,,,,,,,,,4.0,,15.9,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,12,,,,5,,
,,,,,,,,,6.0,,22.6,,,,,,54,,,,,,,,,,,,,,,,,,,,1600,,12,,,,4,,
,,,,,,,,,2.0,,3.4,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,12,,,,6,,
,,,,,,,,,5.0,,16.2,,,,,,54,,,,,,,,,,,,,,,,,,,,1600,,12,,,,5,,
,,,,,,,,,10.0,,81.0,,,,,,54,,,,,,,,,,,,,,,,,,,,1600,,12,,,,5,,
,,,,,,,,,1.0,,1.7,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,12,,,,4,,
,,,,,,,,,9.0,,48.7,,,,,,55,,,,,,,,,,,,,,,,,,,,1600,,12,,,,4,,
,,,,,,,,,12.0,,112.6,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,12,,,,7,,
,,,,,,,,,7.0,,23.1,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,12,,,,7,,
,,,,,,,,,8.0,,29.4,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,12,,,,4,,
,,,,,,,,,3.0,,14.2,,,,,,53,,,,,,,,,,,,,,,,,,,,1600,,12,,,,5,,
,,,,,,,,,2.0,,4.6,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,12,,,,5,,
,,,,,,,,,9.0,,152.1,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,12,,,,4,,
,,,,,,,,,1.0,,1.9,,,,,,53,,,,,,,,,,,,,,,,,,,,1200,,12,,,,6,,
,,,,,,,,,6.0,,22.7,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,12,,,,4,,
,,,,,,,,,8.0,,49.0,,,,,,54,,,,,,,,,,,,,,,,,,,,1200,,12,,,,4,,
,,,,,,,,,10.0,,172.5,,,,,,54,,,,,,,,,,,,,,,,,,,,1200,,12,,,,4,,
,,,,,,,,,12.0,,319.5,,,,,,53,,,,,,,,,,,,,,,,,,,,1200,,12,,,,4,,
,,,,,,,,,4.0,,7.3,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,12,,,,6,,
,,,,,,,,,5.0,,16.5,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,12,,,,7,,
,,,,,,,,,3.0,,5.2,,,,,,54,,,,,,,,,,,,,,,,,,,,1200,,12,,,,4,,
,,,,,,,,,11.0,,199.9,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,12,,,,4,,
,,,,,,,,,7.0,,33.3,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,12,,,,4,,
,,,,,,,,,10.0,,54.8,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,12,,,,5,,
,,,,,,,,,5.0,,12.2,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,12,,,,4,,
,,,,,,,,,1.0,,2.1,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,12,,,,4,,
,,,,,,,,,2.0,,4.3,,,,,,54,,,,,,,,,,,,,,,,,,,,1600,,12,,,,4,,
,,,,,,,,,11.0,,67.8,,,,,,54,,,,,,,,,,,,,,,,,,,,1600,,12,,,,4,,
,,,,,,,,,6.0,,16.2,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,12,,,,5,,
,,,,,,,,,12.0,,106.0,,,,,,53,,,,,,,,,,,,,,,,,,,,1600,,12,,,,4,,
,,,,,,,,,3.0,,8.2,,,,,,55,,,,,,,,,,,,,,,,,,,,1600,,12,,,,6,,
,,,,,,,,,4.0,,8.6,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,12,,,,4,,
